Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,11446,,11446,,11446,Christopher Roebuck; Christopher Roebuck,,Anthropology,115,001,C,Letter Grade,C,Intro Med Anthro
1,11446,,11446,,11446,Christopher Roebuck; Christopher Roebuck,,Anthropology,115,001,F,Letter Grade,F,Intro Med Anthro
2,11452,,11452,,11452,Katharine Young,,Anthropology,119,001,A,Letter Grade,A,Med Anthro Topics
3,11452,,11452,,11452,Katharine Young,,Anthropology,119,001,A,Letter Grade,A-,Med Anthro Topics
2,11452,,11452,,11452,Katharine Young,,Anthropology,119,001,B,Letter Grade,B+,Med Anthro Topics
3,11452,,11452,,11452,Katharine Young,,Anthropology,119,001,B,Letter Grade,B,Med Anthro Topics
1,11454,,11454,,11454,Jillian Swift; Jillian Swift,,Anthropology,128M,001,A,Letter Grade,A+,Topics:Arch/Method
5,11454,,11454,,11454,Jillian Swift; Jillian Swift,,Anthropology,128M,001,A,Letter Grade,A,Topics:Arch/Method
1,11454,,11454,,11454,Jillian Swift; Jillian Swift,,Anthropology,128M,001,A,Letter Grade,A-,Topics:Arch/Method
4,11454,,11454,,11454,Jillian Swift; Jillian Swift,,Anthropology,128M,001,B,Letter Grade,B+,Topics:Arch/Method
1,11454,,11454,,11454,Jillian Swift; Jillian Swift,,Anthropology,128M,001,B,Letter Grade,B-,Topics:Arch/Method
1,11454,,11454,,11454,Jillian Swift; Jillian Swift,,Anthropology,128M,001,C,Letter Grade,C-,Topics:Arch/Method
1,11454,,11454,,11454,Jillian Swift; Jillian Swift,,Anthropology,128M,001,Credit,Non-Letter Grade,Pass,Topics:Arch/Method
3,11456,,11456,,11456,Brian Karl,,Anthropology,166,001,A,Letter Grade,A+,"Lang,Culture,Socity"
10,11456,,11456,,11456,Brian Karl,,Anthropology,166,001,A,Letter Grade,A,"Lang,Culture,Socity"
3,11456,,11456,,11456,Brian Karl,,Anthropology,166,001,A,Letter Grade,A-,"Lang,Culture,Socity"
1,11456,,11456,,11456,Brian Karl,,Anthropology,166,001,B,Letter Grade,B+,"Lang,Culture,Socity"
3,11456,,11456,,11456,Brian Karl,,Anthropology,166,001,B,Letter Grade,B,"Lang,Culture,Socity"
1,11456,,11456,,11456,Brian Karl,,Anthropology,166,001,C,Letter Grade,C,"Lang,Culture,Socity"
2,11456,,11456,,11456,Brian Karl,,Anthropology,166,001,C,Letter Grade,C-,"Lang,Culture,Socity"
3,11458,,11458,,11458,M. George; Mary Mather George,,Anthropology,169B,001,A,Letter Grade,A+,Res Theo/Meth Soc
5,11458,,11458,,11458,M. George; Mary Mather George,,Anthropology,169B,001,A,Letter Grade,A,Res Theo/Meth Soc
3,11458,,11458,,11458,M. George; Mary Mather George,,Anthropology,169B,001,A,Letter Grade,A-,Res Theo/Meth Soc
2,11458,,11458,,11458,M. George; Mary Mather George,,Anthropology,169B,001,Credit,Non-Letter Grade,Pass,Res Theo/Meth Soc
1,11458,,11458,,11458,M. George; Mary Mather George,,Anthropology,169B,001,No Credit,Non-Letter Grade,Unsatisfactory,Res Theo/Meth Soc
10,11462,,11462,,11462,Kimberly Christensen; Kimberly Christensen,,Anthropology,174AC,001,A,Letter Grade,A+,Ca Historical Anth
2,11462,,11462,,11462,Kimberly Christensen; Kimberly Christensen,,Anthropology,174AC,001,A,Letter Grade,A,Ca Historical Anth
2,11462,,11462,,11462,Kimberly Christensen; Kimberly Christensen,,Anthropology,174AC,001,A,Letter Grade,A-,Ca Historical Anth
1,11462,,11462,,11462,Kimberly Christensen; Kimberly Christensen,,Anthropology,174AC,001,B,Letter Grade,B,Ca Historical Anth
1,11462,,11462,,11462,Kimberly Christensen; Kimberly Christensen,,Anthropology,174AC,001,Credit,Non-Letter Grade,Pass,Ca Historical Anth
